2018-04-13 08:14:22,,61,367,This is Paul Ryan. Exactly. 100%. Fuck Paul Ryan. https://t.co/MYxN9jOas8,"[[[-74.988897, 39.810025], [-74.908642, 39.810025], [-74.908642, 39.87514], [-74.988897, 39.87514]]]","Voorhees, NJ",United States,US,city 
2018-04-12 01:25:53,"Flushing, NY",931,151,Paul Ryan is an example of a wealthy man who ran for office and failed upwards - to Speaker of the House. His tax p… https://t.co/Z1E7rSScvR,"[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]","Queens, NY",United States,US,city
2018-04-12 01:25:33,United States,435,676,"@Kimflower82 @MewfordsDad @SpeakerRyan F**k Paul Ryan, it’s about time he goes but not before screwing the working class and Seniors.","[[[-120.00574, 35.002086], [-114.039649, 35.002086], [-114.039649, 42.002208], [-120.00574, 42.002208]]]","Nevada, USA",United States,US,admin
2018-04-12 01:25:32,"Edmonton, Alberta",577,791,"It’s consoling to think that because he’s retiring at such a young age, Paul Ryan will get a front row seat to seei… https://t.co/XsyXxeNMQl","[[[-113.71368, 53.395531], [-113.271555, 53.395531], [-113.271555, 53.7161084], [-113.71368, 53.7161084]]]","Edmonton, Alberta",Canada,CA,city
2018-04-12 01:25:28,"New Orleans, LA",1067,2326,"@maddow, I know you have more on your show than a tribute to Paul Ryan! So far, it’s been the Ryan evening!  #Bah!","[[[-90.208137, 29.934187], [-90.170923, 29.934187], [-90.170923, 29.973309], [-90.208137, 29.973309]]]","Elmwood, LA",United States,US,city
2018-04-12 01:25:14,United States,2210,3304,Paul Ryan announced he's retiring in January he said he accomplished everything he set out to do. what he did was p… https://t.co/6e8tESbuzE,"[[[-83.871776, 43.578783], [-83.774976, 43.578783], [-83.774976, 43.62809], [-83.871776, 43.62809]]]","Hampton, MI",United States,US,city
2018-04-12 01:25:04,USA,163,227,"Rachel Maddow show. Paul Ryan Spohn of Eddy Monster is getting the hell out of Congress. Why, the Congressional bud… https://t.co/Q3aFVMqQYl","[[[-118.082615, 33.6289907], [-117.91485, 33.6289907], [-117.91485, 33.756093], [-118.082615, 33.756093]]]","Huntington Beach, CA",United States,US,city
2018-04-12 01:24:48,"Atlanta, GA",16194,8018,"pssst
hey 
the paul ryan story is no longer breaking news","[[[-77.917295, 40.749326], [-77.798924, 40.749326], [-77.798924, 40.817749], [-77.917295, 40.817749]]]","State College, PA",United States,US,city
2018-04-12 01:24:31,"Georgia, USA",726,847,My Good Bye to Paul Ryan https://t.co/U6JZDDKMma via @wordpressdotcom,"[[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]]","Georgia, USA",United States,US,admin
2018-04-12 01:24:30,"Santa Cruz, CA",19179,19037,"Looking forward to the new movie about all the retiring GOP politicians, Paul Ryan’s Express. 

#PaulRyan","[[[-121.984316, 36.954154], [-121.956349, 36.954154], [-121.956349, 36.969167], [-121.984316, 36.969167]]]","Opal Cliffs, CA",United States,US,city
2018-04-12 01:23:35,"Washington, D.C.",735,807,The only Paul Ryan epitaph we need https://t.co/sWOhNc9eMl,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]","Washington, DC",United States,US,city
2018-04-12 01:23:28,Los Angeles,3159,740,"Paul Ryan’s Wife: Darryl, ya can’t stay here during the week anymore. Paul wants to be full-time, now. https://t.co/KmNVKXB93S","[[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]","California, USA",United States,US,admin
2018-04-12 01:23:25,"Los Angeles, CA",3370,1858,"Wait, if Paul Ryan is retiring, then who did I get tickets to see on May 8???? https://t.co/riIVtsEL5L","[[[-118.28058153390886, 34.06042146421028], [-118.28058153390886, 34.06042146421028], [-118.28058153390886, 34.06042146421028], [-118.28058153390886, 34.06042146421028]]]",Dynasty Typewriter At The Hayworth,,,poi
2018-04-12 01:23:17,"Chicago, IL",1905,2408,"Paul Ryan jumping off the Trumptanic before it sinks and gets his $89,000 pension for the rest of his life! https://t.co/0Ug3UCAntM","[[[-88.410765, 41.656926], [-88.261472, 41.656926], [-88.261472, 41.72409], [-88.410765, 41.72409]]]","Oswego, IL",United States,US,city
2018-04-12 01:22:40,"Hillcrest, San Diego",46,476,Paul Ryan Abandons the Sinking Ship via @thenation https://t.co/e5ehzhXhXP,"[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]","San Diego, CA",United States,US,city
2018-04-12 01:21:18,"Bedford, TX",1621,3692,"Paul Ryan said this morning that he planned ""to full his serve term"" instead of ""to serve his full term."" Paul Ryan… https://t.co/LeFYkGchy1","[[[-97.1686653, 32.822102], [-97.099752, 32.822102], [-97.099752, 32.8677644], [-97.1686653, 32.8677644]]]","Bedford, TX",United States,US,city
2018-04-12 01:21:12,"Pukalani, HI",35,20,If you look up “lap dog” in the Oxford English Dictionary there’s a picture of Paul Ryan. https://t.co/Db1qckbvmn,"[[[-156.359376, 20.804118], [-156.318233, 20.804118], [-156.318233, 20.850458], [-156.359376, 20.850458]]]","Pukalani, HI",United States,US,city
2018-04-12 01:20:30,"Toronto, ON, Canada",922,4070,When we are finally rid of Paul Ryan I will always marvel at how the press always seemed convinced that he was a go… https://t.co/1XrMuznkLZ,"[[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]]","Toronto, Ontario",Canada,CA,city
2018-04-12 01:20:14,Australia,1878,42,"⒈ #mumbrellatravel
⒉ Yassmin Abdel-Magied
⒊ #TTPlay
⒋ #nomoreharm
⒌ #design18
⒍ #PESA2018
⒎ Parkside
⒏ Paul Ryan
⒐… https://t.co/VWU3TaajeT","[[[131.98621212, -25.99909803], [135.90442404, -25.99909803], [135.90442404, -24.135165], [131.98621212, -24.135165]]]","Ghan, Northern Territory",Australia,AU,neighborhood
2018-04-12 01:20:05,"Windermere, Florida",2621,3434,@dominic_lyon recruit recruit good luck it’s not happening but dream on.  We No whythey’re all retiring because the… https://t.co/rGVkmqmcjC,"[[[-81.5494587, 28.485861], [-81.510379, 28.485861], [-81.510379, 28.515363], [-81.5494587, 28.515363]]]","Windermere, FL",United States,US,city
2018-04-12 01:19:40,"Milwaukee, WI",378,365,@NotRachFace That garbage can is on the lifeboats with the women and children.  Paul Ryan - Fuck this I want to be… https://t.co/UCAFuTNJ7D,"[[[-83.204418, 42.474131], [-83.111076, 42.474131], [-83.111076, 42.540305], [-83.204418, 42.540305]]]","Royal Oak, MI",United States,US,city
2018-04-12 01:19:23,"Colorado, USA",316,1495,If trump fires anyone a justice we need to fire him.  Finally Paul Ryan will stop fucking us,"[[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]]","Colorado, USA",United States,US,admin
2018-04-12 01:18:59,"Lakewood, Ohio",48,58,@MSNBC Paul Ryan’s family life never seemed to be an issue when he was running for VP or decided to be Speaker of the House.,"[[[-81.8375, 41.4632453], [-81.768603, 41.4632453], [-81.768603, 41.49759], [-81.8375, 41.49759]]]","Lakewood, OH",United States,US,city
2018-04-12 01:18:29,Kingston. Jamaica.  W & FL ,367,1397,Speaker Paul Ryan #as a young man; top job in America to punish those who are not important let them die https://t.co/7MrdwduXMb,"[[[-78.3688776, 17.7057855], [-76.183028, 17.7057855], [-76.183028, 18.5250291], [-78.3688776, 18.5250291]]]",Jamaica,Jamaica,JM,country
2018-04-12 01:18:20,,74,761,@John_Boehner_ is now a weed guy and the trillion dollar man Paul Ryan is retiring. Mazel Tov! #PaulRyan,"[[[-71.121642, 42.444029], [-71.074941, 42.444029], [-71.074941, 42.502287], [-71.121642, 42.502287]]]","Stoneham, MA",United States,US,city
2018-04-12 01:17:50,United States,6911,7506,This big news failed in the crack today due to Paul Ryan. They are all running away from the waves but they are lea… https://t.co/IvLEebSsv5,"[[[-97.078573, 32.563973], [-96.943763, 32.563973], [-96.943763, 32.747383], [-97.078573, 32.747383]]]","Lakeland Heights, TX",United States,US,city
2018-04-12 01:17:39,"Miami, FL",2758,3031,@sarahjeong I’m still not ready to think about Paul Ryan. The worst example of any Uni’s Class of 1992.,"[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]]","Philadelphia, PA",United States,US,city
2018-04-12 01:17:05,Wakanda,572,703,"“The Beltway Myth of Paul Ryan” - by Rachel @maddow 

So true it’s hilarious...and sad.

#dontletthedoorknobhityou","[[[-90.5706573, 38.737756], [-90.464711, 38.737756], [-90.464711, 38.848337], [-90.5706573, 38.848337]]]","St Charles, MO",United States,US,city
2018-04-12 01:16:58,"Napa, California",377,388,The real reason #PaulRyan is quitting https://t.co/Kzvx69gt1V via @PalmerReport,"[[[-122.358011, 38.243267], [-122.254517, 38.243267], [-122.254517, 38.350876], [-122.358011, 38.350876]]]","Napa, CA",United States,US,city
2018-04-12 01:16:47,"St. Croix, Virgin Islands",133,321,@maddow @myth of Paul Ryan.,"[[[-64.83612, 17.692955], [-64.650019, 17.692955], [-64.650019, 17.779716], [-64.83612, 17.779716]]]","Christiansted, Virgin Islands, U.S.","Virgin Islands, U.S.",VI,city
2018-04-12 01:16:43,"Richmond, VA",93,161,"Ouch.
Paul Ryan Broke My Heart | Crooked Media https://t.co/ULan2QukgO","[[[-77.601044, 37.447046], [-77.385297, 37.447046], [-77.385297, 37.61272], [-77.601044, 37.61272]]]","Richmond, VA",United States,US,city
2018-04-12 01:15:46,UnitedStates of America,392,206,"@nanna1932 @Morning_Joe Paul Ryan’s  problem is he’s in AWE of the title “President,”whether deserved or not!If a m… https://t.co/ChWpS0MXCI","[[[-82.040502, 28.8635719], [-81.953293, 28.8635719], [-81.953293, 28.982092], [-82.040502, 28.982092]]]","The Villages, FL",United States,US,city
2018-04-12 01:15:37,,3,91,@realDonaldTrump @seanhannity @FoxNews Good riddance Paul Ryan!  He should go now and put Nunes as Speaker!!!!,"[[[-84.3219475, 33.752879], [-75.40012, 33.752879], [-75.40012, 36.588118], [-84.3219475, 36.588118]]]","North Carolina, USA",United States,US,admin
2018-04-12 01:15:28,"Silver Spring, MD",403,656,"Paul Ryan more or less adopts this ideology, but Milo Y does so straightforwardly and without qualification, which… https://t.co/a1y0H1eZr7","[[[-77.064086, 38.979735], [-76.97162, 38.979735], [-76.97162, 39.036964], [-77.064086, 39.036964]]]","Silver Spring, MD",United States,US,city
2018-04-12 01:14:43,"Austin, TX",160,401,Paul Ryan wants to spend more time with his son. https://t.co/Wct7DdAxZZ,"[[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]]","Texas, USA",United States,US,admin
2018-04-12 01:14:20,Eugene OR,778,1194,"WaPo whines Paul Rino, er Ryan, was swept away by a Trumpian tidal wave he could not co rain or control.  YESSSS!!! https://t.co/oPkfcJ6lY0","[[[-123.208615, 43.988281], [-123.0361879, 43.988281], [-123.0361879, 44.142961], [-123.208615, 44.142961]]]","Eugene, OR",United States,US,city
2018-04-12 01:14:07,"Bloomington, IN",1281,1301,"Ryan was an errand boy for the Koch Bros and the wealthy, an intellectual phony, and a spineless cipher in the face… https://t.co/2qaHHZEnXf","[[[-88.097892, 37.771743], [-84.78458, 37.771743], [-84.78458, 41.761368], [-88.097892, 41.761368]]]","Indiana, USA",United States,US,admin
2018-04-12 01:14:06,"Fishers, IN",1040,2645,Too bad I had a road trip planned for Janesville to see Paul Ryan campaign https://t.co/ryodLk5JCQ,"[[[-86.076196, 39.9267692], [-85.823905, 39.9267692], [-85.823905, 40.000753], [-86.076196, 40.000753]]]","Fishers, IN",United States,US,city
2018-04-12 01:13:58,United States,25,17,"Paul Ryan has spent years trying to shred America's social safety net.

He didn't succeed, mostly. But the voters w… https://t.co/XvUAbznb1P","[[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]]","Pennsylvania, USA",United States,US,admin
2018-04-12 01:13:37,nuntheawakening.com,1714,2707,@maddow I’m sorry. I can’t take any more of the “Paul Ryan is wonderful” hype. Even if it’s just to make a point of… https://t.co/75b1mpOCja,"[[[-75.7887564, 38.4510398], [-74.984165, 38.4510398], [-74.984165, 39.839007], [-75.7887564, 39.839007]]]","Delaware, USA",United States,US,admin
2018-04-12 01:13:15,"Washington, DC + Detroit, MI",3310,1113,"""In 1973, Republicans were screaming that the investigation was nothing but a Fake New Witch Hunt. They lost 49 Hou… https://t.co/LHeNkRWXvf","[[[-77.144435, 38.789907], [-77.037304, 38.789907], [-77.037304, 38.8448531], [-77.144435, 38.8448531]]]","Alexandria, VA",United States,US,city
2018-04-12 01:13:11,East Texas,1641,2196,.@FiveThirtyEight says Paul Ryan's announcement makes perfect sense. One explanation? Democrats might re-take the H… https://t.co/ccNjthmBuG,"[[[-95.414773, 32.221406], [-95.219307, 32.221406], [-95.219307, 32.409917], [-95.414773, 32.409917]]]","Tyler, TX",United States,US,city
2018-04-12 01:13:03,"Dallas, Tx",1014,1274,@maddow is live shading the holy hell out of Paul Ryan.😂😀#Maddow #msnbc,"[[[-90.5008048, 38.675851], [-90.407348, 38.675851], [-90.407348, 38.756043], [-90.5008048, 38.756043]]]","Maryland Heights, MO",United States,US,city
2018-04-12 01:13:01,North Cackalacky,150,632,"Best take yet on worthless @SpeakerRyan.
Furious Koch Brothers Sell Paul Ryan on eBay https://t.co/zDUPn4Bxhu","[[[-78.818343, 35.7158045], [-78.497331, 35.7158045], [-78.497331, 35.9721579], [-78.818343, 35.9721579]]]","Raleigh, NC",United States,US,city
2018-04-12 01:13:00,"Michigan, USA",37,226,A signal that the lure of money can drive progress in the same way that it can impede it. What could happen if Paul… https://t.co/iEzFlfJeYA,"[[[-83.437523, 42.439001], [-83.316839, 42.439001], [-83.316839, 42.529556], [-83.437523, 42.529556]]]","Farmington Hills, MI",United States,US,city
2018-04-12 01:12:58,"Florida, USA",1917,2199,"@GOP
TO PAUL RYAN..
LET'S #KAG AND CONTINUE TO #MAGA https://t.co/iQD24Zu2X1","[[[-82.739856, 28.193916], [-82.692769, 28.193916], [-82.692769, 28.233075], [-82.739856, 28.233075]]]","Elfers, FL",United States,US,city
2018-04-12 01:12:51,"New Orleans, LA",1067,2326,"@allinwithchris Can’t watch you today, Chris. I do not need an explanation of Paul Ryan and can’t understand why he’s not already gone! #Bye","[[[-90.208137, 29.934187], [-90.170923, 29.934187], [-90.170923, 29.973309], [-90.208137, 29.973309]]]","Elmwood, LA",United States,US,city
2018-04-12 01:12:40,Aiken South Carolina,179,745,Paul Ryan leaving the U S Government with its largest debt EVER.  Thanks for nothing.,"[[[-81.779032, 33.475332], [-81.672472, 33.475332], [-81.672472, 33.590153], [-81.779032, 33.590153]]]","Aiken, SC",United States,US,city
2018-04-12 01:12:20,,80,204,"@chelseahandler @BGHeaven @TomSteyer Talk to Paul Ryan, or whoever replaces him as Speaker of the House.  https://t.co/waBOU9oOev","[[[-97.51982, 35.15327], [-97.370527, 35.15327], [-97.370527, 35.291332], [-97.51982, 35.291332]]]","Norman, OK",United States,US,city
2018-04-12 01:12:16,USA,3256,5000,"""Paul Ryan"" will go down as a heartless, mean underling of the Koch brothers and big corporations. Ryan, on the tak… https://t.co/357TU1P02S","[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Los Angeles, CA",United States,US,city
2018-04-12 01:11:38,"Appleton, WI",8,200,@SteveSchmidtSES As a lif long Wisconsin resident and worker all Paul Ryan has ever wanted to do is abandon the poo… https://t.co/YQkuezO49y,"[[[-88.4968423, 44.243882], [-88.385483, 44.243882], [-88.385483, 44.329156], [-88.4968423, 44.329156]]]","Grand Chute, WI",United States,US,city
2018-04-12 01:11:21,"Northwest District, Portland",1028,820,why it's almost as if paul ryan was a fraud this whole time!,"[[[-122.726154, 45.522879], [-122.6828343, 45.522879], [-122.6828343, 45.545555], [-122.726154, 45.545555]]]","Northwest District, Portland",United States,US,neighborhood
2018-04-12 01:11:19,United States,4090,3882,The thing I most remember about Paul Ryan's failed VP try in 2012 was @JoeBiden kicking his ass in the VP debate. That was hysterical!,"[[[-179.231086, 13.182335], [179.859685, 13.182335], [179.859685, 71.434357], [-179.231086, 71.434357]]]",United States,United States,US,country
2018-04-12 01:11:17,"Los Angeles, CA",12484,12312,#PaulRyan’s lowest moments from his career in Washington - NY Daily News https://t.co/GxWtoCHAYc https://t.co/tPLch9c6Mc,"[[[-118.365715, 33.9827564], [-118.331397, 33.9827564], [-118.331397, 34.008397], [-118.365715, 34.008397]]]","View Park-Windsor Hills, CA",United States,US,city
2018-04-12 01:11:07,most likely lost somewhere.,133,36,✌🏽✌🏽 Paul Ryan you piece of shit. #PaulRyan,"[[[-83.576507, 42.975833], [-83.488029, 42.975833], [-83.488029, 43.076749], [-83.576507, 43.076749]]]","Davison, MI",United States,US,city
2018-04-12 01:10:39,,121,409,@IronStache @joshtpm @SpeakerRyan Paul Ryan great Christian with his vision for the poor. Left to spend more time in church,"[[[-88.097892, 37.771743], [-84.78458, 37.771743], [-84.78458, 41.761368], [-88.097892, 41.761368]]]","Indiana, USA",United States,US,admin
2018-04-12 01:10:12,United States,4090,3882,"OMG. LOL at that old @PRyan goes to Congress video on @maddow.
Capitol Hill reporters were ""Oh wow. What a wonk! He… https://t.co/mGr0NSMAC9","[[[-179.231086, 13.182335], [179.859685, 13.182335], [179.859685, 71.434357], [-179.231086, 71.434357]]]",United States,United States,US,country
2018-04-12 01:09:06,riding the wave,277,525,The degree of joy I'm experiencing today over the Paul Ryan news is some rare shit man Christmas come early this year,"[[[-105.3017759, 39.953552], [-105.183597, 39.953552], [-105.183597, 40.094411], [-105.3017759, 40.094411]]]","Boulder, CO",United States,US,city
2018-04-12 01:08:41,"Grand Rapids, MI",489,537,Paul Ryan blaming his own children for his choice to jump ship....total dad move. https://t.co/WdGeDBtukl,"[[[-85.751406, 42.883679], [-85.530877, 42.883679], [-85.530877, 43.029144], [-85.751406, 43.029144]]]","Grand Rapids, MI",United States,US,city
2018-04-12 01:08:17,,15,16,@GOP @realDonaldTrump with Paul Ryan have increased our debt by 1.3 Trillion dollars. Money goes to donor pockets w… https://t.co/c8O76wVWKD,"[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]","Florida, USA",United States,US,admin
2018-04-12 01:08:16,USA,3256,5000,"""Paul Ryan"" finally sets an example for Trump and the whole lot of horrible people and I do mean the repuglicans. Q… https://t.co/Dn6IWJOJYw","[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Los Angeles, CA",United States,US,city
2018-04-12 01:08:02,"Scottsdale, AZ",323,256,Paul Ryan Will Retire as the Biggest Fake in American Politics https://t.co/VXXanmLoZn via @Esquire,"[[[-111.960775, 33.4358637], [-111.756022, 33.4358637], [-111.756022, 33.842816], [-111.960775, 33.842816]]]","Scottsdale, AZ",United States,US,city
2018-04-12 01:08:00,,1142,4717,Love that @maddow has the Paul Ryan receipts on his duplicity re the national debt.,"[[[-74.036896, 40.859865], [-73.987236, 40.859865], [-73.987236, 40.917057], [-74.036896, 40.917057]]]","Teaneck, NJ",United States,US,city
2018-04-12 01:07:47,"Milwaukee, WI",584,932,"@NorahODonnell You saying Paul Ryan has a ""good heart"" diminishes your stature in my eyes. I assumed you had been p… https://t.co/0yN5VCRdSF","[[[-88.070827, 42.920822], [-87.863758, 42.920822], [-87.863758, 43.1926225], [-88.070827, 43.1926225]]]","Milwaukee, WI",United States,US,city
2018-04-12 01:07:07,Heaven,1813,1759,Paul Ryan is the Wesley Snipes of tax accounting. Truth is Paul Ryan doesn't know ish.  #Maddow,"[[[-83.353955, 32.04683], [-78.499301, 32.04683], [-78.499301, 35.215449], [-83.353955, 35.215449]]]","South Carolina, USA",United States,US,admin
2018-04-12 01:06:44,World,4,44,"Poor Paul Ryan, what he had 2 put up w/Trump. Just 2 get tax plan, etc. While jeopardizing r democracy &amp; the world's security! @SykesCharlie","[[[-84.7948142, 33.688539], [-84.6335097, 33.688539], [-84.6335097, 33.784073], [-84.7948142, 33.784073]]]","Douglasville, GA",United States,US,city
2018-04-12 01:06:36,"Lahaina, HI",943,1133,@ananavarro @Myminimine Then this is it lets see if what you say you know Paul Ryan to be is true you say he's for… https://t.co/d6DbwwQ5OK,"[[[-178.443593, 18.86546], [-154.755792, 18.86546], [-154.755792, 28.517269], [-178.443593, 28.517269]]]","Hawaii, USA",United States,US,admin
2018-04-12 01:06:33,"Hermosa Beach, CA",503,640,I wonder if the swamp drain is clogged with Paul Ryan trying to fit through? 🤔 #maddow,"[[[-118.4095788, 33.8518504], [-118.3848663, 33.8518504], [-118.3848663, 33.877823], [-118.4095788, 33.877823]]]","Hermosa Beach, CA",United States,US,city
2018-04-12 01:05:39,Heaven,1813,1759,Maddow's A-Block is filled with destroying Paul Ryan.  She truly has her finger on the pulse of my life.  #maddow,"[[[-80.809517, 32.441983], [-80.752113, 32.441983], [-80.752113, 32.482502], [-80.809517, 32.482502]]]","Laurel Bay, SC",United States,US,city
2018-04-12 01:05:39,"Hyannis, Ma",439,961,@LuckyCharmsLass @CaliConsrvative Trump's a domestic and international failure who even Paul Ryan cannot support. H… https://t.co/zbhHKnf6S0,"[[[-70.274205, 41.62933], [-70.220003, 41.62933], [-70.220003, 41.699658], [-70.274205, 41.699658]]]","West Yarmouth, MA",United States,US,city
2018-04-12 01:05:38,LA/SF,7069,7700,Rachel is about to drrraaagggg Paul Ryan.  #maddow https://t.co/pzuCE4tdL9,"[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]]","San Francisco, CA",United States,US,city
2018-04-12 01:04:01,,154,751,"Well Ryan be Tried before he leaves ;Eric Cantor, Paul Ryan &amp; Kevin McCarthy: Plot To Sabotage US Economy with Fran… https://t.co/8GS1K2dx0p","[[[-72.557247, 42.6969837], [-70.575095, 42.6969837], [-70.575095, 45.305476], [-72.557247, 45.305476]]]","New Hampshire, USA",United States,US,admin
2018-04-12 01:02:50,"Delaware, USA",204,259,I’m glad Paul Ryan is not running for re-election! Can’t remember a House Speaker that didn’t have the back of thei… https://t.co/NIJkcp7nBV,"[[[-75.7887564, 38.4510398], [-74.984165, 38.4510398], [-74.984165, 39.839007], [-75.7887564, 39.839007]]]","Delaware, USA",United States,US,admin
2018-04-12 01:02:16,Chicago + LA,1363,376,"Paul Ryan is proof that you can praise human selfishness, dedicate your life to obliterating the safety net for the… https://t.co/cz5uA4GE8k","[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Los Angeles, CA",United States,US,city
2018-04-12 01:01:16,Australia,1878,42,"⒈ #mumbrellatravel
⒉ #TTPlay
⒊ #nomoreharm
⒋ #design18
⒌ #PESA2018
⒍ Parkside
⒎ World War III
⒏ Paul Ryan
⒐ Melbour… https://t.co/Nly5WSnr6e","[[[131.98621212, -25.99909803], [135.90442404, -25.99909803], [135.90442404, -24.135165], [131.98621212, -24.135165]]]","Ghan, Northern Territory",Australia,AU,neighborhood
2018-04-12 01:00:35,,7118,7817,I have tried to follow your career Paul Ryan to find redeeming points where you actually gave a crap about real peo… https://t.co/DJdzLRanlK,"[[[-82.63717, 27.856937], [-82.5825183, 27.856937], [-82.5825183, 27.890859], [-82.63717, 27.890859]]]","Gandy, FL",United States,US,city
2018-04-12 00:59:30,"Cinnaminson, NJ, Near Philadelphia",5622,4741,@Phoebe66557284 Excellent word Phoebe regarding paul ryan. Thank you.,"[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]]","Philadelphia, PA",United States,US,city
2018-04-12 00:59:24,"Montpelier, VT",67,179,@chrislhayes @allinwithchris Paul Ryan prevented democracy from functioning in the House. No bills could be brought… https://t.co/M9IhydQseD,"[[[-72.6255728, 44.2348719], [-72.544556, 44.2348719], [-72.544556, 44.3127017], [-72.6255728, 44.3127017]]]","Montpelier, VT",United States,US,city
2018-04-12 00:59:13,"617 native, 202 transplant",1093,1125,From Paul Ryan's post-retirement-announcement photo shoot. https://t.co/CMbchiCuxa,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]","Washington, DC",United States,US,city
2018-04-12 00:58:46,"New York, USA",508,328,@RepAdamSchiff @SpeakerRyan Paul Ryan is a deplorable. The country will be so much better off without him. His lega… https://t.co/ma0gKLxvCW,"[[[-73.823233, 40.883279], [-73.787791, 40.883279], [-73.787791, 40.902632], [-73.823233, 40.902632]]]","Pelham Manor, NY",United States,US,city
2018-04-12 00:57:31,"Philadelphia, PA",324,635,"STOP the Canonization of Paul Ryan! He had ample opportunity to speak up about Trump. 
Did he? He’ll No!","[[[-75.446725, 40.1759621], [-75.414838, 40.1759621], [-75.414838, 40.202962], [-75.446725, 40.202962]]]","Evansburg, PA",United States,US,city
2018-04-12 00:56:56,"Washington, DC",3334,571,"I hope Paul Ryan has some better dreams after he retires...
Paul Ryan’s most important legacy is Trump’s war on Med… https://t.co/Kcm7zmZtfT","[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]","Washington, DC",United States,US,city
2018-04-12 00:56:48,"Astoria, Queens",11,356,@Lawrence @SpeakerRyan Paul Ryan is a crook and thief. U robbed the American people in the name of tax reform in re… https://t.co/oQcEy0GQ2D,"[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]","Queens, NY",United States,US,city
2018-04-12 00:56:46,"Columbus, GA",158,881,This about sums it up. I honestly expected Republicans to stand up for what was right. Most of them have completely… https://t.co/Lqeq7C09mY,"[[[-85.0386729, 32.373847], [-84.795941, 32.373847], [-84.795941, 32.59076], [-85.0386729, 32.59076]]]","Columbus, GA",United States,US,city
2018-04-12 00:56:19,"Hamilton, OH",42784,38274,"@realDonaldTrump @seanhannity @FoxNews Not watching, worst President in United States History, Paul Ryan is leaving… https://t.co/kWwd7FWzBE","[[[-84.64717, 39.3501346], [-84.4746381, 39.3501346], [-84.4746381, 39.457988], [-84.64717, 39.457988]]]","Hamilton, OH",United States,US,city
2018-04-12 00:56:01,Madison,19,320,"@chrislhayes There is no way around it, Paul Ryan remained a silent coward and is leaving a silent coward. Here whe… https://t.co/hI2LJnhXxB","[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]","Wisconsin, USA",United States,US,admin
2018-04-12 00:55:58,"San Jose, CA",5253,5236,"""Paul Ryan has made the House irrelevant.""
@allinwithchris #PaulRyan","[[[-122.035311, 37.193164], [-121.71215, 37.193164], [-121.71215, 37.469154], [-122.035311, 37.469154]]]","San Jose, CA",United States,US,city
2018-04-12 00:55:32,"Astoria, Queens",11,356,@IronStache @SpeakerRyan Paul Ryan ur a piece of shit. Ur children should be ashamed of u. Ur a crook and I hope u rot in hell u pussy,"[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]","Queens, NY",United States,US,city
2018-04-12 00:55:02,,4744,4911,@AMike4761 Paul RYAN was always a DEEP STATE CREATURE‼️It would be completely 😳naive from us to expect him to CHANG… https://t.co/gQZukWHdAz,"[[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]]","Toronto, Ontario",Canada,CA,city
